ISO3,year,gdp_growth,resource_rents,investment,trade_openness,fdi,inflation,govt_debt,unemployment,pop_growth
ABW,1970,,,,,,,,,-0.172878468846149
ABW,1971,,,,,,,,,-0.287095354800503
ABW,1972,,,,,,,,,-1.25656462134736
ABW,1973,,,,,,,,,0.433191332877477
ABW,1974,,,,,,,,,0.0857280074449621
ABW,1975,,,,,,,,,-0.0925894239870965
ABW,1976,,,,,,,,,0.125146806661145
ABW,1977,,,,,,,,,0.362554694772122
ABW,1978,,,,,,,,,0.334026691838903
ABW,1979,,,,,,,,,0.703589498767673
ABW,1980,,,,,,,,,1.20572409466493
ABW,1981,,,,,,,,,1.08574012985549
ABW,1982,,,,,,,,,1.17041035995923
ABW,1983,,,,,,,,,1.54168100744254
ABW,1984,,,,,,,,,1.07570026063362
ABW,1985,,,,,,4.03225805628627,,,-1.88244251078928
ABW,1986,,0.00087802987012987,,,0.0,1.07396640826828,,,-2.95437362586139
ABW,1987,16.0784313755902,0.000734242709867452,,,0.223058133218786,3.64304545817705,,,-1.29651660780176
ABW,1988,18.6486486682331,0.000575055457463885,,,2.05548592827715,3.12186849610722,,,0.290320062131051
ABW,1989,12.1298405451924,0.000491267194492255,,,0.186907630522088,3.99162804604575,,,1.85688371673627
ABW,1990,3.96140172360629,0.00155226229781905,,,17.063550036523,5.83668775158165,,,3.75056134586705
ABW,1991,7.96287173232642,0.00163386762871304,,,21.1851377322229,5.55555555555579,,,4.88713560049167
ABW,1992,5.88235395341866,0.00137919973940525,,,-3.85780885780885,3.87337536996479,,,4.61012241010557
ABW,1993,7.30769324531406,0.000925240173915881,,,-1.65549252191851,5.2155599603571,,,6.5620284925223
ABW,1994,8.20390129312089,0.000937261565324962,,,-5.8744394618834,6.31107971270439,,,5.17037414583618
ABW,1995,2.54714368704694,0.00116658771218565,31.1336717428088,171.362098138748,-0.418781725888323,3.36139107320898,,,2.80831670109337
ABW,1996,1.18578851134656,0.00081940211530906,28.4615384615385,175.344129554656,6.16194331983805,3.22528797213979,,,3.95074287081186
ABW,1997,7.04687499241221,0.00100250493075445,30.2334062727936,168.781911013858,12.9139314369073,2.99994809778412,,,3.87475976651232
ABW,1998,1.99198444906199,0.000848352981616005,31.7007715531701,163.267359946327,6.81314994968126,1.8694885361554,,,2.4607540856619
ABW,1999,1.2380418420716,0.000717901853338623,30.8690012970169,164.559014267185,27.1368352788586,2.28037198258753,,,1.35648590551186
ABW,2000,7.62292064930222,0.00166277142064697,25.4941135775374,145.072879516204,-6.82872717296655,4.04402131190512,,,1.03081685259869
ABW,2001,4.1820016304779,0.0014191795529938,23.9991775312859,140.391108618306,-14.0750555726085,2.88360430316263,,,0.93503293482838
ABW,2002,-0.944953481157384,0.00137100806940249,26.629979781872,133.230771421249,16.9490560127573,3.31524678585423,,,0.692051826700269
ABW,2003,1.11050459944282,0.00145277793252244,28.8817040907799,132.794291274023,7.81642871198372,3.65636507938418,,,1.13822893851655
ABW,2004,7.29372807096192,0.00158368130684963,28.4513918843887,132.430929795173,-4.68763897846137,2.52912946932762,,,2.13535781849357
ABW,2005,-0.383137672063768,0.00197275799182091,33.160442199198,145.050280144237,-8.8049356352136,3.39778677828805,,,2.59075665615847
ABW,2006,1.12741146411624,0.002449482525579,34.5191296544988,141.042626734626,8.92046662114826,3.60802438784541,,,1.79663785158395
ABW,2007,3.0895443848509,0.00243696444079606,31.746651038248,139.972309491093,-17.5903165005138,5.39256784475516,,,0.746664790352749
ABW,2008,1.83575517191368,0.00287298171598646,32.1030557196345,139.110149824701,0.664175810874169,8.95598705177784,,,0.762933470313563
ABW,2009,-11.6777413693852,0.0020412189607002,29.6421797785745,137.556575933708,-0.41563759901472,-2.13542872046937,,,0.678450763317743
ABW,2010,-2.73345679250639,0.00387013761309746,28.2831797071863,135.464654677581,7.61167220218675,2.07814071860786,,,0.230041095930877
ABW,2011,3.36923718421511,0.00380977060432498,27.4166371579459,154.437786862887,18.5057800383246,4.31629742195203,,,0.736689418341162
ABW,2012,-1.04079988436683,0.00340775585550675,23.5225068320821,156.645197205944,-12.0331802180755,0.627471992893372,,,1.46978228958006
ABW,2013,6.43146080719245,0.00245165331607624,23.825859897396,155.731904417046,9.97445713517423,-2.37206524252261,,,1.49203139661921
ABW,2014,1.42609864257801,0.00323517161852513,23.1114410000278,156.491052766236,7.46525460335849,0.421440918881214,,,1.06551209965487
ABW,2015,3.61147995361162,0.00238765944448716,21.538867068293,140.493001133496,-0.907264375161604,0.474763597342641,,,1.02370103122312
ABW,2016,1.23433537363427,0.0033437423337293,20.5749571545811,136.887263320827,0.923397287531133,-0.93119598707956,,,0.75796755862231
ABW,2017,3.49342985290626,0.00282719063862959,20.5511714864529,138.716620095236,5.2533752062728,-1.02828178762012,,,0.007357607309414
ABW,2018,3.21247111920076,0.00188469168678285,22.4017184437014,138.824972245657,4.39981717177271,3.6260414135296,,,0.158975971141518
ABW,2019,1.22511225158814,0.00168011577104813,22.6154511785237,137.9619293134,-2.2478342012416,4.25746204335427,,,0.270504632854835
ABW,2020,-23.8979898352395,0.00303719334778541,23.9492805852762,122.723738046404,6.51718576425329,,,,-0.565684046703506
ABW,2021,14.7306159219273,0.0020661282461218,20.2449106732973,139.917797708768,4.63553026601194,,,,-0.82021108315363
