struct,nl,pers,eps,ej_t,acr_t,acp_t,ej_acr,d_real,d_pool,d_real_lo,d_real_hi,d_pool_lo,d_pool_hi,wilcoxon_p,n,degenerate_control
static,low,short,small,0.9714285714285718,0.9714285714285718,0.9642857142857146,0.9964285714285716,0.0,0.00714285714285714,-0.005357142857142822,0.005357142857142822,-0.005357142857142822,0.02142857142857142,0.27203944789573553,20,True
static,low,short,med,0.9714285714285718,0.9714285714285718,0.9642857142857146,0.9964285714285716,0.0,0.00714285714285714,-0.005357142857142822,0.005357142857142822,-0.005357142857142822,0.021428571428571387,0.27203944789573553,20,True
static,low,short,large,0.9392857142857144,0.9428571428571431,0.9321428571428573,0.9964285714285716,-0.0035714285714285475,0.0071428571428571895,-0.008928571428571369,0.0,-0.008928571428571331,0.023214285714285764,0.38893531091236555,20,True
static,low,short,extreme,0.7875000000000002,0.7875000000000002,0.7767857142857146,0.9964285714285716,1.1102230246251566e-17,0.010714285714285721,-0.005357142857142822,0.005357142857142855,-0.0035714285714286086,0.02678571428571431,0.1598855052045215,20,True
static,low,medium,small,0.9714285714285718,0.9714285714285718,0.9642857142857146,0.9964285714285716,0.0,0.00714285714285714,-0.005357142857142822,0.005357142857142822,-0.005357142857142822,0.02147321428571404,0.27203944789573553,20,True
static,low,medium,med,0.9714285714285718,0.9714285714285718,0.9642857142857146,0.9964285714285716,0.0,0.00714285714285714,-0.005357142857142822,0.005357142857142822,-0.0036160714285714012,0.021428571428571408,0.27203944789573553,20,True
static,low,medium,large,0.9392857142857144,0.9428571428571431,0.9321428571428573,0.9964285714285716,-0.0035714285714285475,0.0071428571428571895,-0.008928571428571369,0.0,-0.007142857142857095,0.02321428571428577,0.38893531091236555,20,True
static,low,medium,extreme,0.7875000000000002,0.7875000000000002,0.7767857142857146,0.9964285714285716,1.1102230246251566e-17,0.010714285714285721,-0.00535714285714281,0.005357142857142855,-0.005357142857142838,0.025000000000000033,0.1598855052045215,20,True
static,low,long,small,0.9714285714285718,0.9714285714285718,0.9642857142857146,0.9964285714285716,0.0,0.00714285714285714,-0.005357142857142822,0.005357142857142822,-0.00535714285714281,0.021428571428571398,0.27203944789573553,20,True
static,low,long,med,0.9714285714285718,0.9714285714285718,0.9642857142857146,0.9964285714285716,0.0,0.00714285714285714,-0.005357142857142822,0.005357142857142822,-0.00535714285714281,0.021428571428571408,0.27203944789573553,20,True
static,low,long,large,0.9392857142857144,0.9428571428571431,0.9321428571428573,0.9964285714285716,-0.0035714285714285475,0.0071428571428571895,-0.008928571428571369,0.0,-0.007142857142857095,0.024999999999999994,0.38893531091236555,20,True
static,low,long,extreme,0.7875000000000002,0.7875000000000002,0.7767857142857146,0.9964285714285716,1.1102230246251566e-17,0.010714285714285721,-0.005357142857142822,0.005357142857142855,-0.0035714285714285978,0.02678571428571431,0.1598855052045215,20,True
static,med,short,small,0.955357142857143,0.9464285714285717,0.9053571428571431,0.9910714285714286,0.008928571428571407,0.05,0.0017857142857142737,0.017857142857142842,0.0071428571428571565,0.09821428571428568,0.05000563560015015,20,True
static,med,short,med,0.955357142857143,0.9464285714285717,0.9053571428571431,0.9910714285714286,0.008928571428571407,0.05,0.0017857142857142737,0.01785714285714285,0.0071428571428571565,0.09821428571428573,0.05000563560015015,20,True
static,med,short,large,0.9642857142857146,0.955357142857143,0.923214285714286,0.9910714285714286,0.00892857142857142,0.04107142857142858,0.0017857142857142737,0.017857142857142867,0.003571428571428553,0.08928571428571425,0.07363827012030266,20,True
static,med,short,extreme,0.9232142857142861,0.9250000000000004,0.892857142857143,0.9910714285714286,-0.001785714285714296,0.030357142857142853,-0.008928571428571425,0.0035714285714285475,-0.01785714285714285,0.07499999999999998,0.18485825379822074,20,True
static,med,medium,small,0.955357142857143,0.9464285714285717,0.9053571428571431,0.9910714285714286,0.008928571428571407,0.05,0.0017857142857142737,0.017857142857142877,0.007142857142857206,0.09464285714285714,0.05000563560015015,20,True
static,med,medium,med,0.955357142857143,0.9464285714285717,0.9053571428571431,0.9910714285714286,0.008928571428571407,0.05,0.0017857142857142737,0.017857142857142842,0.010714285714285676,0.09821428571428568,0.05000563560015015,20,True
static,med,medium,large,0.9642857142857146,0.955357142857143,0.923214285714286,0.9910714285714286,0.00892857142857142,0.04107142857142858,0.0017857142857142737,0.01785714285714286,0.0017857142857143128,0.08749999999999997,0.07363827012030266,20,True
static,med,medium,extreme,0.9232142857142861,0.9250000000000004,0.892857142857143,0.9910714285714286,-0.001785714285714296,0.030357142857142853,-0.0071428571428571504,0.0035714285714285475,-0.012544642857142902,0.07499999999999998,0.18485825379822074,20,True
static,med,long,small,0.955357142857143,0.9464285714285717,0.9053571428571431,0.9910714285714286,0.008928571428571407,0.05,0.0017857142857142737,0.017901785714285495,0.007142857142857184,0.09999999999999998,0.05000563560015015,20,True
static,med,long,med,0.955357142857143,0.9464285714285717,0.9053571428571431,0.9910714285714286,0.008928571428571407,0.05,0.0017857142857142737,0.017857142857142842,0.00892857142857143,0.10178571428571426,0.05000563560015015,20,True
static,med,long,large,0.9642857142857146,0.955357142857143,0.923214285714286,0.9910714285714286,0.00892857142857142,0.04107142857142858,0.0017857142857142737,0.017857142857142877,0.0035714285714285635,0.08571428571428574,0.07363827012030266,20,True
static,med,long,extreme,0.9232142857142861,0.9250000000000004,0.892857142857143,0.9910714285714286,-0.001785714285714296,0.030357142857142853,-0.0071428571428571504,0.0035714285714285475,-0.016071428571428552,0.07683035714285692,0.18485825379822074,20,True
static,high,short,small,0.9357142857142863,0.9053571428571431,0.8964285714285717,0.9767857142857146,0.030357142857142888,0.03928571428571426,0.003526785714285728,0.06607142857142859,0.00714285714285714,0.07321428571428569,0.04942075065958087,20,True
static,high,short,med,0.9392857142857147,0.9125000000000002,0.9000000000000004,0.9767857142857146,0.02678571428571431,0.03928571428571425,0.0017857142857143182,0.05535714285714288,0.007142857142857106,0.07499999999999998,0.04942075065958087,20,True
static,high,short,large,0.9535714285714288,0.9446428571428575,0.9303571428571432,0.9767857142857146,0.008928571428571452,0.023214285714285708,-0.005357142857142827,0.02857142857142856,0.0017857142857143071,0.0482142857142857,0.0742147163137559,20,True
static,high,short,extreme,0.9446428571428575,0.9428571428571433,0.9250000000000004,0.9767857142857146,0.0017857142857143238,0.01964285714285714,-0.012499999999999945,0.021428571428571463,-0.0017857142857142297,0.0429017857142855,0.1372537974389985,20,True
static,high,medium,small,0.9357142857142863,0.9053571428571431,0.8964285714285717,0.9767857142857146,0.030357142857142888,0.03928571428571426,0.0017857142857143568,0.06607142857142863,0.008928571428571402,0.07499999999999998,0.04942075065958087,20,True
static,high,medium,med,0.9392857142857147,0.9125000000000002,0.9000000000000004,0.9767857142857146,0.02678571428571431,0.03928571428571425,0.001785714285714329,0.0535714285714286,0.008928571428571402,0.07499999999999996,0.04942075065958087,20,True
static,high,medium,large,0.9535714285714288,0.9446428571428575,0.9303571428571432,0.9767857142857146,0.008928571428571452,0.023214285714285708,-0.007142857142857073,0.02678571428571432,5.537237335317969e-17,0.04825892857142835,0.0742147163137559,20,True
static,high,medium,extreme,0.9446428571428575,0.9428571428571433,0.9250000000000004,0.9767857142857146,0.0017857142857143238,0.01964285714285714,-0.014285714285714212,0.019642857142857163,-2.2343238370581267e-17,0.044642857142857165,0.1372537974389985,20,True
static,high,long,small,0.9357142857142863,0.9053571428571431,0.8964285714285717,0.9767857142857146,0.030357142857142888,0.03928571428571426,0.003571428571428603,0.06611607142857125,0.008928571428571364,0.0767857142857142,0.04942075065958087,20,True
